director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,title_year,director_genre_actors
Nimród Antal,Topher Grace,Alice Braga,Derek Mears,Action Adventure Sci-Fi Thriller,Predators,2010.0,Nimród Antal Topher Grace  Alice Braga Derek Mears Action Adventure Sci-Fi Thriller
Ivan Reitman,Brian Dennehy,Debra Winger,Roscoe Lee Browne,Comedy Crime Romance,Legal Eagles,1986.0,Ivan Reitman Brian Dennehy  Debra Winger Roscoe Lee Browne Comedy Crime Romance
David Koepp,Johnny Depp,Charles S. Dutton,Timothy Hutton,Mystery Thriller,Secret Window,2004.0,David Koepp Johnny Depp  Charles S. Dutton Timothy Hutton Mystery Thriller
Alejandro Agresti,Keanu Reeves,Dylan Walsh,Ebon Moss-Bachrach,Drama Fantasy Romance,The Lake House,2006.0,Alejandro Agresti Keanu Reeves  Dylan Walsh Ebon Moss-Bachrach Drama Fantasy Romance
Iain Softley,Gena Rowlands,Deneen Tyler,Joy Bryant,Horror Mystery Thriller,The Skeleton Key,2005.0,Iain Softley Gena Rowlands  Deneen Tyler Joy Bryant Horror Mystery Thriller
Peter Hedges,Jennifer Garner,Odeya Rush,Common,Comedy Drama Family Fantasy,The Odd Life of Timothy Green,2012.0,Peter Hedges Jennifer Garner  Odeya Rush Common Comedy Drama Family Fantasy
Paul Weiland,Busy Philipps,Beau Garrett,Kevin Sussman,Comedy Romance,Made of Honor,2008.0,Paul Weiland Busy Philipps  Beau Garrett Kevin Sussman Comedy Romance
Clint Eastwood,Johnny Cannizzaro,Steve Schirripa,Scott Vance,Biography Drama Music Musical,Jersey Boys,2014.0,Clint Eastwood Johnny Cannizzaro  Steve Schirripa Scott Vance Biography Drama Music Musical
Francis Ford Coppola,Matt Damon,Dean Stockwell,Virginia Madsen,Crime Drama Thriller,The Rainmaker,1997.0,Francis Ford Coppola Matt Damon  Dean Stockwell Virginia Madsen Crime Drama Thriller
Mathieu Kassovitz,Robert Downey Jr.,Charles S. Dutton,Bernard Hill,Horror Mystery Thriller,Gothika,2003.0,Mathieu Kassovitz Robert Downey Jr.  Charles S. Dutton Bernard Hill Horror Mystery Thriller
Steven Spielberg,Anthony Hopkins,Morgan Freeman,Matthew McConaughey,Drama History,Amistad,1997.0,Steven Spielberg Anthony Hopkins  Morgan Freeman Matthew McConaughey Drama History
John McTiernan,Lorraine Bracco,José Wilker,Sean Connery,Adventure Drama Romance,Medicine Man,1992.0,John McTiernan Lorraine Bracco  José Wilker Sean Connery Adventure Drama Romance
Colin Strause,Sam Trammell,Johnny Lewis,Ian Whyte,Action Horror Sci-Fi Thriller,Aliens vs. Predator: Requiem,2007.0,Colin Strause Sam Trammell  Johnny Lewis Ian Whyte Action Horror Sci-Fi Thriller
Donald Petrie,Macaulay Culkin,John Larroquette,Jonathan Hyde,Comedy Family,Ri¢hie Ri¢h,1994.0,Donald Petrie Macaulay Culkin  John Larroquette Jonathan Hyde Comedy Family
Joan Chen,J.K. Simmons,Sam Trammell,Elaine Stritch,Drama Romance,Autumn in New York,2000.0,Joan Chen J.K. Simmons  Sam Trammell Elaine Stritch Drama Romance
Marc Lawrence,Brad Garrett,Scott Porter,Haley Bennett,Comedy Music Romance,Music and Lyrics,2007.0,Marc Lawrence Brad Garrett  Scott Porter Haley Bennett Comedy Music Romance
Greg Mottola,Bobby Lee,Nelson Ascencio,Jeremy Owen,Adventure Comedy Sci-Fi,Paul,2011.0,Greg Mottola Bobby Lee  Nelson Ascencio Jeremy Owen Adventure Comedy Sci-Fi
Anne Fletcher,Miriam Margolyes,Tom Virtue,Julene Renee,Comedy Drama,The Guilt Trip,2012.0,Anne Fletcher Miriam Margolyes  Tom Virtue Julene Renee Comedy Drama
Wes Craven,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech,Horror Mystery,Scream 4,2011.0,Wes Craven Alison Brie  Aimee Teegarden Shenae Grimes-Beech Horror Mystery
Joel Schumacher,Nicolas Cage,Chris Bauer,Anthony Heald,Mystery Thriller,8MM,1999.0,Joel Schumacher Nicolas Cage  Chris Bauer Anthony Heald Mystery Thriller
Oliver Stone,Michael Wincott,Kevin Dillon,Kathleen Quinlan,Biography Drama Music Musical,The Doors,1991.0,Oliver Stone Michael Wincott  Kevin Dillon Kathleen Quinlan Biography Drama Music Musical
Jake Kasdan,James Wilcox,Randall Park,Nat Faxon,Comedy,Sex Tape,2014.0,Jake Kasdan James Wilcox  Randall Park Nat Faxon Comedy
Diane Keaton,Adam Arkin,Celia Weston,Jesse James,Comedy Drama,Hanging Up,2000.0,Diane Keaton Adam Arkin  Celia Weston Jesse James Comedy Drama
Steven Quale,Emma Bell,Jacqueline MacInnes Wood,Courtney B. Vance,Horror,Final Destination 5,2011.0,Steven Quale Emma Bell  Jacqueline MacInnes Wood Courtney B. Vance Horror
Kelly Makin,Jeanne Tripplehorn,Burt Young,Vincent Pastore,Comedy Crime Romance,Mickey Blue Eyes,1999.0,Kelly Makin Jeanne Tripplehorn  Burt Young Vincent Pastore Comedy Crime Romance
Mimi Leder,Kevin Spacey,Haley Joel Osment,Angie Dickinson,Drama,Pay It Forward,2000.0,Mimi Leder Kevin Spacey  Haley Joel Osment Angie Dickinson Drama
Bobby Farrelly,Jimmy Fallon,KaDee Strickland,Ione Skye,Comedy Drama Romance Sport,Fever Pitch,2005.0,Bobby Farrelly Jimmy Fallon  KaDee Strickland Ione Skye Comedy Drama Romance Sport
unknown,Bruce Dinsmore,Melissa Altro,Daniel Brochu,Animation Comedy Family,Arthur            ,0.0,unknown Bruce Dinsmore  Melissa Altro Daniel Brochu Animation Comedy Family
Steven Brill,Lisa Ann Walter,Shaun Weiss,Matt Walsh,Comedy Drama,Drillbit Taylor,2008.0,Steven Brill Lisa Ann Walter  Shaun Weiss Matt Walsh Comedy Drama
Seth MacFarlane,Liam Neeson,Charlize Theron,Seth MacFarlane,Comedy Western,A Million Ways to Die in the West,2014.0,Seth MacFarlane Liam Neeson  Charlize Theron Seth MacFarlane Comedy Western
Russell Mulcahy,Jonathan Winters,Peter Boyle,John Kapelos,Action Adventure Crime Fantasy Mystery Thriller,The Shadow,1994.0,Russell Mulcahy Jonathan Winters  Peter Boyle John Kapelos Action Adventure Crime Fantasy Mystery Thriller
Stephen Daldry,Tom Hanks,Thomas Horn,Stephen Henderson,Adventure Drama Mystery,Extremely Loud & Incredibly Close,2011.0,Stephen Daldry Tom Hanks  Thomas Horn Stephen Henderson Adventure Drama Mystery
Roger Michell,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga,Comedy Drama Romance,Morning Glory,2010.0,Roger Michell Noah Bean  Patti D'Arbanville Vanessa Aspillaga Comedy Drama Romance
Jim Sheridan,50 Cent,Bill Duke,Marc John Jefferies,Biography Crime Drama Music,Get Rich or Die Tryin',2005.0,Jim Sheridan 50 Cent  Bill Duke Marc John Jefferies Biography Crime Drama Music
Christian Duguay,Michael Biehn,Cary-Hiroyuki Tagawa,Anne Archer,Action Adventure Crime Thriller,The Art of War,2000.0,Christian Duguay Michael Biehn  Cary-Hiroyuki Tagawa Anne Archer Action Adventure Crime Thriller
Chris Columbus,Rosario Dawson,David Fine,Jesse L. Martin,Drama Musical Romance,Rent,2005.0,Chris Columbus Rosario Dawson  David Fine Jesse L. Martin Drama Musical Romance
Chuck Russell,Rufus Sewell,Jimmy Smits,Angela Bettis,Crime Drama Horror Thriller,Bless the Child,2000.0,Chuck Russell Rufus Sewell  Jimmy Smits Angela Bettis Crime Drama Horror Thriller
Sam Weisman,Oliver Hudson,Valerie Perri,Carlease Burke,Comedy,The Out-of-Towners,1999.0,Sam Weisman Oliver Hudson  Valerie Perri Carlease Burke Comedy
John Frankenheimer,Marlon Brando,Temuera Morrison,Marco Hofschneider,Horror Sci-Fi Thriller,The Island of Dr. Moreau,1996.0,John Frankenheimer Marlon Brando  Temuera Morrison Marco Hofschneider Horror Sci-Fi Thriller
Peter Hyams,Catherine Deneuve,Justin Chambers,Stephen Rea,Action Adventure Romance,The Musketeer,2001.0,Peter Hyams Catherine Deneuve  Justin Chambers Stephen Rea Action Adventure Romance
Justin Chadwick,Natalie Portman,Scarlett Johansson,Benedict Cumberbatch,Biography Drama History Romance,The Other Boleyn Girl,2008.0,Justin Chadwick Natalie Portman  Scarlett Johansson Benedict Cumberbatch Biography Drama History Romance
Pat O'Connor,Keanu Reeves,Charlize Theron,Frank Langella,Drama Romance,Sweet November,2001.0,Pat O'Connor Keanu Reeves  Charlize Theron Frank Langella Drama Romance
Stephen Hopkins,Stephen Rea,Andrea Frankle,William Ragsdale,Horror Thriller,The Reaping,2007.0,Stephen Hopkins Stephen Rea  Andrea Frankle William Ragsdale Horror Thriller
Martin Scorsese,Robert De Niro,David Carradine,David Proval,Crime Drama Romance Thriller,Mean Streets,1973.0,Martin Scorsese Robert De Niro  David Carradine David Proval Crime Drama Romance Thriller
Penny Marshall,Ed Begley Jr.,Cliff Robertson,Lillo Brancato,Comedy Drama,Renaissance Man,1994.0,Penny Marshall Ed Begley Jr.  Cliff Robertson Lillo Brancato Comedy Drama
Olivier Megaton,Jordi Mollà,Callum Blue,Jesse Borrego,Action Crime Drama Thriller,Colombiana,2011.0,Olivier Megaton Jordi Mollà  Callum Blue Jesse Borrego Action Crime Drama Thriller
Frederik Du Chau,Gary Oldman,Jaleel White,Eric Idle,Adventure Animation Comedy Drama Family Fantasy Musical,The Magic Sword: Quest for Camelot,1998.0,Frederik Du Chau Gary Oldman  Jaleel White Eric Idle Adventure Animation Comedy Drama Family Fantasy Musical
Michael Caton-Jones,Robert De Niro,James Franco,John Doman,Crime Drama Mystery Thriller,City by the Sea,2002.0,Michael Caton-Jones Robert De Niro  James Franco John Doman Crime Drama Mystery Thriller
Irwin Winkler,Mira Sorvino,Nathan Lane,Steven Weber,Drama Romance,At First Sight,1999.0,Irwin Winkler Mira Sorvino  Nathan Lane Steven Weber Drama Romance
Joseph Kahn,Dane Cook,Jay Hernandez,Christina Milian,Action Comedy Crime,Torque,2004.0,Joseph Kahn Dane Cook  Jay Hernandez Christina Milian Action Comedy Crime
Harold Becker,Al Pacino,Martin Landau,Bridget Fonda,Drama Thriller,City Hall,1996.0,Harold Becker Al Pacino  Martin Landau Bridget Fonda Drama Thriller
Paul Verhoeven,Bobbie Phillips,Elizabeth Berkley,Robert Davi,Drama,Showgirls,1995.0,Paul Verhoeven Bobbie Phillips  Elizabeth Berkley Robert Davi Drama
Sofia Coppola,Kirsten Dunst,Shirley Henderson,Rip Torn,Biography Drama History Romance,Marie Antoinette,2006.0,Sofia Coppola Kirsten Dunst  Shirley Henderson Rip Torn Biography Drama History Romance
Barbet Schroeder,Nicolas Cage,Michael Rapaport,Philip Baker Hall,Action Crime Thriller,Kiss of Death,1995.0,Barbet Schroeder Nicolas Cage  Michael Rapaport Philip Baker Hall Action Crime Thriller
Stephen Kay,Sylvester Stallone,Miranda Richardson,Lauren Lee Smith,Action Crime Drama Thriller,Get Carter,2000.0,Stephen Kay Sylvester Stallone  Miranda Richardson Lauren Lee Smith Action Crime Drama Thriller
J.A. Bayona,Naomi Watts,Geraldine Chaplin,Oaklee Pendergast,Drama Thriller,The Impossible,2012.0,J.A. Bayona Naomi Watts  Geraldine Chaplin Oaklee Pendergast Drama Thriller
Elaine May,Carol Kane,Warren Beatty,Isabelle Adjani,Action Adventure Comedy Music Thriller,Ishtar,1987.0,Elaine May Carol Kane  Warren Beatty Isabelle Adjani Action Adventure Comedy Music Thriller
Wes Anderson,Bill Murray,Meryl Streep,Helen McCrory,Adventure Animation Comedy Crime Family,Fantastic Mr. Fox,2009.0,Wes Anderson Bill Murray  Meryl Streep Helen McCrory Adventure Animation Comedy Crime Family
Stephen Herek,Angelina Jolie Pitt,Stockard Channing,James Gammon,Comedy Romance,Life or Something Like It,2002.0,Stephen Herek Angelina Jolie Pitt  Stockard Channing James Gammon Comedy Romance
John Carpenter,Richard Epcar,Michael McKean,Patricia Heaton,Comedy Romance Sci-Fi Thriller,Memoirs of an Invisible Man,1992.0,John Carpenter Richard Epcar  Michael McKean Patricia Heaton Comedy Romance Sci-Fi Thriller
Jean-Pierre Jeunet,Mathieu Kassovitz,Jamel Debbouze,Isabelle Nanty,Comedy Romance,Amélie,2001.0,Jean-Pierre Jeunet Mathieu Kassovitz  Jamel Debbouze Isabelle Nanty Comedy Romance
Dennie Gordon,Mary-Kate Olsen,Bob Saget,Riley Smith,Comedy Crime Family Romance,New York Minute,2004.0,Dennie Gordon Mary-Kate Olsen  Bob Saget Riley Smith Comedy Crime Family Romance
Charles Shyer,Omar Epps,Nia Long,Jane Krakowski,Comedy Drama Romance,Alfie,2004.0,Charles Shyer Omar Epps  Nia Long Jane Krakowski Comedy Drama Romance
Ken Kwapis,Ted Danson,Tim Blake Nelson,Andrew Daly,Biography Drama Romance,Big Miracle,2012.0,Ken Kwapis Ted Danson  Tim Blake Nelson Andrew Daly Biography Drama Romance
Ulu Grosbard,Alexa PenaVega,Treat Williams,Jonathan Jackson,Drama,The Deep End of the Ocean,1999.0,Ulu Grosbard Alexa PenaVega  Treat Williams Jonathan Jackson Drama
William Malone,Natascha McElhone,Jeffrey Combs,Udo Kier,Crime Horror Thriller,Feardotcom,2002.0,William Malone Natascha McElhone  Jeffrey Combs Udo Kier Crime Horror Thriller
Paul Weitz,Josh Hutcherson,Salma Hayek,Patrick Fugit,Action Adventure Fantasy Thriller,Cirque du Freak: The Vampire's Assistant,2009.0,Paul Weitz Josh Hutcherson  Salma Hayek Patrick Fugit Action Adventure Fantasy Thriller
Paul McGuigan,Daniel Radcliffe,Spencer Wilding,Daniel Mays,Drama Horror Sci-Fi Thriller,Victor Frankenstein,2015.0,Paul McGuigan Daniel Radcliffe  Spencer Wilding Daniel Mays Drama Horror Sci-Fi Thriller
Danny DeVito,Justin Theroux,Amber Valletta,Harvey Fierstein,Comedy,Duplex,2003.0,Danny DeVito Justin Theroux  Amber Valletta Harvey Fierstein Comedy
Malcolm D. Lee,Bernie Mac,Sean Hayes,Mike Epps,Comedy Drama Music,Soul Men,2008.0,Malcolm D. Lee Bernie Mac  Sean Hayes Mike Epps Comedy Drama Music
Jerry Jameson,M. Emmet Walsh,Jason Robards,Anne Archer,Action Adventure Drama Thriller,Raise the Titanic,1980.0,Jerry Jameson M. Emmet Walsh  Jason Robards Anne Archer Action Adventure Drama Thriller
Mic Rodgers,Michael Jai White,Daniel von Bargen,Xander Berkeley,Action Sci-Fi,Universal Soldier: The Return,1999.0,Mic Rodgers Michael Jai White  Daniel von Bargen Xander Berkeley Action Sci-Fi
Christian Alvart,Norman Reedus,Dennis Quaid,Eddie Rouse,Action Horror Mystery Sci-Fi Thriller,Pandorum,2009.0,Christian Alvart Norman Reedus  Dennis Quaid Eddie Rouse Action Horror Mystery Sci-Fi Thriller
Gary Fleder,Gary Dourdan,Mekhi Phifer,Tim Guinee,Drama Mystery Sci-Fi Thriller,Impostor,2001.0,Gary Fleder Gary Dourdan  Mekhi Phifer Tim Guinee Drama Mystery Sci-Fi Thriller
Christian Duguay,Rufus Sewell,Bridgette Wilson-Sampras,Rupert Graves,Action Adventure Thriller,Extreme Ops,2002.0,Christian Duguay Rufus Sewell  Bridgette Wilson-Sampras Rupert Graves Action Adventure Thriller
Jean-Marie Poiré,Bridgette Wilson-Sampras,Matt Ross,John Aylward,Comedy Fantasy Sci-Fi,Just Visiting,2001.0,Jean-Marie Poiré Bridgette Wilson-Sampras  Matt Ross John Aylward Comedy Fantasy Sci-Fi
Danny Boyle,Chris Evans,Benedict Wong,Troy Garity,Adventure Sci-Fi Thriller,Sunshine,2007.0,Danny Boyle Chris Evans  Benedict Wong Troy Garity Adventure Sci-Fi Thriller
Brian Robbins,John Gatins,Lou Saliba,Greg Collins,Comedy Drama,A Thousand Words,2012.0,Brian Robbins John Gatins  Lou Saliba Greg Collins Comedy Drama
Marc F. Adler,Eric Idle,Anne Bancroft,Kelly Ripa,Adventure Animation Comedy Fantasy Romance,Delgo,2008.0,Marc F. Adler Eric Idle  Anne Bancroft Kelly Ripa Adventure Animation Comedy Fantasy Romance
Pierre Morel,Ray Winstone,Mark Rylance,Jasmine Trinca,Action Crime Drama Mystery Thriller,The Gunman,2015.0,Pierre Morel Ray Winstone  Mark Rylance Jasmine Trinca Action Crime Drama Mystery Thriller
Geoffrey Sax,Alex Pettyfer,Sophie Okonedo,Ashley Walters,Action Adventure Family Thriller,Alex Rider: Operation Stormbreaker,2006.0,Geoffrey Sax Alex Pettyfer  Sophie Okonedo Ashley Walters Action Adventure Family Thriller
D.J. Caruso,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo,Drama Mystery Thriller,Disturbia,2007.0,D.J. Caruso Sarah Roemer  Aaron Yoo Jose Pablo Cantillo Drama Mystery Thriller
Iain Softley,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco,Comedy Crime Drama Thriller,Hackers,1995.0,Iain Softley Angelina Jolie Pitt  Fisher Stevens Lorraine Bracco Comedy Crime Drama Thriller
Richard Shepard,James Brolin,Zan Marolt,Ljubomir Kerekes,Adventure Comedy Drama Romance Thriller War,The Hunting Party,2007.0,Richard Shepard James Brolin  Zan Marolt Ljubomir Kerekes Adventure Comedy Drama Romance Thriller War
Joel Coen,Jennifer Jason Leigh,Bill Cobbs,John Mahoney,Comedy Fantasy,The Hudsucker Proxy,1994.0,Joel Coen Jennifer Jason Leigh  Bill Cobbs John Mahoney Comedy Fantasy
Peter Ho-Sun Chan,Jet Li,Takeshi Kaneshiro,Andy Lau,Action Drama History Romance War,The Warlords,2007.0,Peter Ho-Sun Chan Jet Li  Takeshi Kaneshiro Andy Lau Action Drama History Romance War
Sergey Bodrov,Jay Hernandez,Kuno Becker,Jason Scott Lee,Drama History War,Nomad: The Warrior,2005.0,Sergey Bodrov Jay Hernandez  Kuno Becker Jason Scott Lee Drama History War
Joon-ho Bong,Chris Evans,Ewen Bremner,Kang-ho Song,Action Drama Sci-Fi Thriller,Snowpiercer,2013.0,Joon-ho Bong Chris Evans  Ewen Bremner Kang-ho Song Action Drama Sci-Fi Thriller
Bibo Bergeron,Adam Goldberg,Bob Balaban,François Cluzet,Adventure Animation Comedy Fantasy Music Romance,A Monster in Paris,2011.0,Bibo Bergeron Adam Goldberg  Bob Balaban François Cluzet Adventure Animation Comedy Fantasy Music Romance
Jeff Nathanson,Matthew Broderick,Glenn Morshower,Tim Blake Nelson,Comedy,The Last Shot,2004.0,Jeff Nathanson Matthew Broderick  Glenn Morshower Tim Blake Nelson Comedy
Alex Proyas,Michael Wincott,Bai Ling,David Patrick Kelly,Action Drama Fantasy,The Crow,1994.0,Alex Proyas Michael Wincott  Bai Ling David Patrick Kelly Action Drama Fantasy
S.S. Rajamouli,Tamannaah Bhatia,Anushka Shetty,Prabhas,Action Adventure Drama Fantasy War,Baahubali: The Beginning,2015.0,S.S. Rajamouli Tamannaah Bhatia  Anushka Shetty Prabhas Action Adventure Drama Fantasy War
Robert Schwentke,Arliss Howard,Brooklynn Proulx,Michelle Nolden,Drama Fantasy Romance Sci-Fi,The Time Traveler's Wife,2009.0,Robert Schwentke Arliss Howard  Brooklynn Proulx Michelle Nolden Drama Fantasy Romance Sci-Fi
Michael Lehmann,Colin Ferguson,Stephen Collins,Tom Everett Scott,Comedy Romance,Because I Said So,2007.0,Michael Lehmann Colin Ferguson  Stephen Collins Tom Everett Scott Comedy Romance
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,The Fast and the Furious,2001.0,Rob Cohen Paul Walker  Vin Diesel Jordana Brewster Action Crime Thriller
Tim Burton,Martin Landau,Catherine O'Hara,Atticus Shaffer,Animation Comedy Family Horror Sci-Fi,Frankenweenie,2012.0,Tim Burton Martin Landau  Catherine O'Hara Atticus Shaffer Animation Comedy Family Horror Sci-Fi
Joss Whedon,Adam Baldwin,Sean Maher,Michael Hitchcock,Action Adventure Sci-Fi Thriller,Serenity,2005.0,Joss Whedon Adam Baldwin  Sean Maher Michael Hitchcock Action Adventure Sci-Fi Thriller
Charles S. Dutton,Omar Epps,Charles S. Dutton,Tim Daly,Biography Drama Romance Sport,Against the Ropes,2004.0,Charles S. Dutton Omar Epps  Charles S. Dutton Tim Daly Biography Drama Romance Sport
Richard Lester,Margot Kidder,Robert Vaughn,Jackie Cooper,Action Comedy Sci-Fi,Superman III,1983.0,Richard Lester Margot Kidder  Robert Vaughn Jackie Cooper Action Comedy Sci-Fi
Peter Segal,Robert De Niro,Sylvester Stallone,Oscar Gale,Comedy Sport,Grudge Match,2013.0,Peter Segal Robert De Niro  Sylvester Stallone Oscar Gale Comedy Sport
John Woo,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao,Action Adventure Drama History War,Red Cliff,2008.0,John Woo Takeshi Kaneshiro  Tony Chiu Wai Leung Wei Zhao Action Adventure Drama History War
Andy Tennant,Ethan Embry,Mary Lynn Rajskub,Courtney Gains,Comedy Romance,Sweet Home Alabama,2002.0,Andy Tennant Ethan Embry  Mary Lynn Rajskub Courtney Gains Comedy Romance
Robert Luketic,Gerard Butler,John Michael Higgins,Eric Winter,Comedy Romance,The Ugly Truth,2009.0,Robert Luketic Gerard Butler  John Michael Higgins Eric Winter Comedy Romance
Jonathan Lynn,Austin Pendleton,Phil Hartman,Max Casella,Comedy,Sgt. Bilko,1996.0,Jonathan Lynn Austin Pendleton  Phil Hartman Max Casella Comedy
Robert Rodriguez,Steve Buscemi,Alexa PenaVega,Emily Osment,Action Adventure Comedy Family Sci-Fi,Spy Kids 2: Island of Lost Dreams,2002.0,Robert Rodriguez Steve Buscemi  Alexa PenaVega Emily Osment Action Adventure Comedy Family Sci-Fi
David Carson,LeVar Burton,Alan Ruck,Jonathan Frakes,Action Adventure Mystery Sci-Fi Thriller,Star Trek: Generations,1994.0,David Carson LeVar Burton  Alan Ruck Jonathan Frakes Action Adventure Mystery Sci-Fi Thriller
Kar-Wai Wong,Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui,Action Biography Drama,The Grandmaster,2013.0,Kar-Wai Wong Tony Chiu Wai Leung  Hye-kyo Song Elvis Tsui Action Biography Drama
Francis Lawrence,Robert Pattinson,Christoph Waltz,James Frain,Drama Romance,Water for Elephants,2011.0,Francis Lawrence Robert Pattinson  Christoph Waltz James Frain Drama Romance
unknown,Joseph Gordon-Levitt,Wayne Knight,Kristen Johnston,Comedy Family Sci-Fi,3rd Rock from the Sun            ,0.0,unknown Joseph Gordon-Levitt  Wayne Knight Kristen Johnston Comedy Family Sci-Fi
Yuefeng Song,Blythe Auffarth,Bianca Collins,Jiao Xu,Adventure Animation Family Fantasy,Dragon Nest: Warriors' Dawn,2014.0,Yuefeng Song Blythe Auffarth  Bianca Collins Jiao Xu Adventure Animation Family Fantasy
Norman Jewison,Denzel Washington,Vincent Pastore,Deborah Kara Unger,Biography Drama Sport,The Hurricane,1999.0,Norman Jewison Denzel Washington  Vincent Pastore Deborah Kara Unger Biography Drama Sport
Michael Apted,Bill Cobbs,Jeff Kober,Billy Campbell,Crime Drama Thriller,Enough,2002.0,Michael Apted Bill Cobbs  Jeff Kober Billy Campbell Crime Drama Thriller
David Mirkin,Sarah Silverman,Anne Bancroft,Jeffrey Jones,Comedy Crime Romance,Heartbreakers,2001.0,David Mirkin Sarah Silverman  Anne Bancroft Jeffrey Jones Comedy Crime Romance
Andy Fickman,D.B. Woodside,Daniella Alonso,Eduardo Verástegui,Action Comedy Crime,Paul Blart: Mall Cop 2,2015.0,Andy Fickman D.B. Woodside  Daniella Alonso Eduardo Verástegui Action Comedy Crime
Luis Mandoki,Sonia Braga,Shirley Knight,Kari Matchett,Drama Romance,Angel Eyes,2001.0,Luis Mandoki Sonia Braga  Shirley Knight Kari Matchett Drama Romance
John Pasquin,Jim Belushi,Ken Marino,Kelly Lynch,Comedy Drama,Joe Somebody,2001.0,John Pasquin Jim Belushi  Ken Marino Kelly Lynch Comedy Drama
Roman Polanski,Johnny Depp,Frank Langella,Lena Olin,Mystery Thriller,The Ninth Gate,1999.0,Roman Polanski Johnny Depp  Frank Langella Lena Olin Mystery Thriller
Michael Apted,J.K. Simmons,Paul Guilfoyle,Bill Nunn,Crime Drama Mystery Thriller,Extreme Measures,1996.0,Michael Apted J.K. Simmons  Paul Guilfoyle Bill Nunn Crime Drama Mystery Thriller
Stephen Herek,Beth Grant,Dagmara Dominczyk,Matthew Glave,Drama Music,Rock Star,2001.0,Stephen Herek Beth Grant  Dagmara Dominczyk Matthew Glave Drama Music
Lee Daniels,Mo'Nique,Gabourey Sidibe,Mariah Carey,Drama,Precious,2009.0,Lee Daniels Mo'Nique  Gabourey Sidibe Mariah Carey Drama
Ridley Scott,Jeff Bridges,Jason Marsden,Ethan Embry,Adventure Drama,White Squall,1996.0,Ridley Scott Jeff Bridges  Jason Marsden Ethan Embry Adventure Drama
John Carpenter,Wilford Brimley,Richard Masur,David Clennon,Horror Mystery Sci-Fi,The Thing,1982.0,John Carpenter Wilford Brimley  Richard Masur David Clennon Horror Mystery Sci-Fi
David Twohy,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine,Action Sci-Fi Thriller,Riddick,2013.0,David Twohy Vin Diesel  Nolan Gerard Funk Bokeem Woodbine Action Sci-Fi Thriller
Jeb Stuart,Gregory Scott Cummins,Claudia Stedelin,Ted Markland,Crime Mystery Thriller,Switchback,1997.0,Jeb Stuart Gregory Scott Cummins  Claudia Stedelin Ted Markland Crime Mystery Thriller
Steve Miner,Tom Skerritt,Usher Raymond,Leonor Varela,Action Adventure Drama Thriller Western,Texas Rangers,2001.0,Steve Miner Tom Skerritt  Usher Raymond Leonor Varela Action Adventure Drama Thriller Western
Gil Kenan,Bill Murray,Toby Jones,Harry Treadaway,Adventure Family Fantasy Sci-Fi,City of Ember,2008.0,Gil Kenan Bill Murray  Toby Jones Harry Treadaway Adventure Family Fantasy Sci-Fi
Paul Thomas Anderson,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild,Drama,The Master,2012.0,Paul Thomas Anderson Mike Howard  Jeffrey W. Jenkins Bruce Goodchild Drama
David Leland,Hayden Christensen,Ryan Cartwright,David Walliams,Adventure Comedy History Romance,Virgin Territory,2007.0,David Leland Hayden Christensen  Ryan Cartwright David Walliams Adventure Comedy History Romance
Gary Fleder,Dennis Quaid,Nicole Beharie,Charles S. Dutton,Biography Drama Sport,The Express,2008.0,Gary Fleder Dennis Quaid  Nicole Beharie Charles S. Dutton Biography Drama Sport
J Blakeson,Chloë Grace Moretz,Maggie Siff,Nick Robinson,Action Adventure Sci-Fi Thriller,The 5th Wave,2016.0,J Blakeson Chloë Grace Moretz  Maggie Siff Nick Robinson Action Adventure Sci-Fi Thriller
Ryan Coogler,Sylvester Stallone,Phylicia Rashad,Graham McTavish,Drama Sport,Creed,2015.0,Ryan Coogler Sylvester Stallone  Phylicia Rashad Graham McTavish Drama Sport
Ben Affleck,Jeremy Renner,Jon Hamm,Owen Burke,Crime Drama Thriller,The Town,2010.0,Ben Affleck Jeremy Renner  Jon Hamm Owen Burke Crime Drama Thriller
Kirk Jones,Anna Kendrick,Dennis Quaid,Thomas Lennon,Comedy Drama Romance,What to Expect When You're Expecting,2012.0,Kirk Jones Anna Kendrick  Dennis Quaid Thomas Lennon Comedy Drama Romance
Ethan Coen,J.K. Simmons,Brad Pitt,Kevin Sussman,Comedy Drama,Burn After Reading,2008.0,Ethan Coen J.K. Simmons  Brad Pitt Kevin Sussman Comedy Drama
Jennifer Flackett,Gerard Butler,Anthony Simcoe,Christopher James Baker,Adventure Comedy Family Fantasy,Nim's Island,2008.0,Jennifer Flackett Gerard Butler  Anthony Simcoe Christopher James Baker Adventure Comedy Family Fantasy
